Num_Acc;place;catu;grav;sexe;trajet;secu1;locp;actp;etatp;an_nais;num_veh;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;lat;long;dep;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;senc;catv;occutc;obs;obsm;choc;manv;motor
2,01E+11;1;1;4;1;1;-1;0;0;0;1976;A01;2005;1;12;19:00;3;2;1;1;3;59011;CD41B;50.515;2.944;59;3.0;41.0;0.0;B;2;2;1;430;0;1;1;0.0;63.0;1;0;1;0;7;0.0;0;2;1;1;-1
2,01E+11;1;1;3;2;3;-1;0;0;0;1968;B02;2005;1;12;19:00;3;2;1;1;3;59011;CD41B;50.515;2.944;59;3.0;41.0;0.0;B;2;2;1;430;0;1;1;0.0;63.0;1;0;1;0;7;0.0;0;2;8;10;-1
2,01E+11;2;2;1;1;0;-1;0;0;0;1964;B02;2005;1;12;19:00;3;2;1;1;3;59011;CD41B;50.515;2.944;59;3.0;41.0;0.0;B;2;2;1;430;0;1;1;0.0;63.0;1;0;1;0;7;0.0;0;2;8;10;-1
2,01E+11;4;2;1;1;0;-1;0;0;0;2004;B02;2005;1;12;19:00;3;2;1;1;3;59011;CD41B;50.515;2.944;59;3.0;41.0;0.0;B;2;2;1;430;0;1;1;0.0;63.0;1;0;1;0;7;0.0;0;2;8;10;-1
2,01E+11;5;2;1;1;0;-1;0;0;0;1998;B02;2005;1;12;19:00;3;2;1;1;3;59011;CD41B;50.515;2.944;59;3.0;41.0;0.0;B;2;2;1;430;0;1;1;0.0;63.0;1;0;1;0;7;0.0;0;2;8;10;-1
2,01E+11;3;2;1;2;0;-1;0;0;0;1991;B02;2005;1;12;19:00;3;2;1;1;3;59011;CD41B;50.515;2.944;59;3.0;41.0;0.0;B;2;2;1;430;0;1;1;0.0;63.0;1;0;1;0;7;0.0;0;2;8;10;-1
2,01E+11;1;1;1;1;5;-1;0;0;0;1955;A01;2005;1;21;16:00;1;2;1;1;1;59051;rue de Lille;50.537;2.802;59;2.0;41.0;0.0;;0;2;0;0;1;1;1;0.0;100.0;1;0;5;0;7;0.0;0;2;7;16;-1
2,01E+11;1;1;3;1;5;-1;0;0;0;1979;B02;2005;1;21;16:00;1;2;1;1;1;59051;rue de Lille;50.537;2.802;59;2.0;41.0;0.0;;0;2;0;0;1;1;1;0.0;100.0;1;0;5;0;2;0.0;0;2;1;1;-1
2,01E+11;1;1;1;1;1;-1;0;0;0;1983;A01;2005;1;21;18:45;3;1;1;2;1;59051;;50.546;2.8;59;2.0;41.0;0.0;;0;0;0;0;1;1;1;0.0;0.0;2;0;5;0;2;0.0;0;2;1;1;-1
2,01E+11;1;1;3;1;1;-1;0;0;0;1956;B02;2005;1;21;18:45;3;1;1;2;1;59051;;50.546;2.8;59;2.0;41.0;0.0;;0;0;0;0;1;1;1;0.0;0.0;2;0;5;0;2;0.0;0;2;1;1;-1
